행번호,주택공급명,위치,공급규모,분양모집일자,배정내역,연락처
466,덕은지구A3BL 호반써밋 DMC힐즈,경기 고양시,8,20. 11. 20. (금),84A(6) 84B(2) ,1566-3684
467,오산 롯데캐슬 스카이파크,경기 오산시,43,20. 11. 27. (금),65(9) 74(4) 84(30),1811-7890
468,두산위브더제니스 센트럴 사하,부산 사하구,12,20. 11. 27. (금),59A(2) 59B(1) 70A(2) 84A(6) 84B(1),1644-0073
469,시흥 센트렐 헤센,경기 시흥시,1,20. 11. 27. (금),84C(1),1877-2899
470,덕은 삼정그린코아 더 베스트,경기 고양시,4,20. 11. 26. (목),84A(2) 84B(2),1566-0532
471,양평다문지구 반도유보라 아이비파크,경기 양평군,26,20. 11. 27. (금),59A(7) 59B(7) 84(12),1800-0730
472,힐스테이트 포항,경북 포항시,17,20. 11. 27. (금),59(3) 74A(8) 74B(2) 84A(4),054-282-2882
473,포항 양학 신원아침신도시 퀘렌시아,경북 포항시,1,20. 11. 26. (목),84B(1),1661-1777
474,안락 스위첸,부산 동래구,3,20. 12. 3. (목),84A(1) 84B(1) 84C(1),1566-7780
475,힐스테이트 첨단,광주 광산구,4,20. 12. 4. (금),84A(1) 84B(3),1899-1686
476,여수 한국아델리움 오션프랑,전남 여수시,3,20. 12. 4. (금),84A(1) 84C(1) ,061-691-6114
477,선교2차 우방아이유쉘 리포레,광주 동구,22,20. 12. 4. (금),59A(3) 59B(2) 84A(9) 84B(8),1577-2771
478,구미 확장2단지 중흥S-클래스,경북 구미시,22,20. 12. 4. (금),84A(18) 84B(4),054-443-1000
479,가야산 한라비발디 프리미어,전남 광양시,5,20. 12. 4. (금),84A(3) 84C(1) 84D(1),1600-0566
480,연산 포레 서희스타힐스,부산 연제구,1,20. 12. 7. (월),84A(1),051-868-3845
481,완주복합행정타운 모아미래도 센트럴시티 1차,전북 완주군,14,20. 12. 8. (화),59A(3) 59B(1) 84(10),1644-5445
482,계룡대실지구 2블록 공공분양,충남 계룡시,1,20. 12. 9. (수),59B(1),042-470-0770
483,익산 수도산 광신프로그레스,전북 익산시,5,20. 12. 2. (수),84A(5),063-844-6699
484,구미 IC 광신프로그레스,경북 구미시,3,20. 12. 10. (목),84A(2) 84B(1),054-461-1020
485,동성로 SK 리더스뷰,대구 중구,8,20. 12. 10. (목),84A(4) 84B(4),053-256-8402
486,서대구역 화성파크드림,대구 서구,12,20. 12. 11. (금),59A(2) 59B(1) 74A(1) 74B(1) 84A(1) 84B(4) 84C(2),053-356-2998
487,중앙로역 푸르지오 더센트럴,대구 중구,7,20. 12. 11. (금),84A(3) 84B(2) 84C(1) 84D(1) ,1566-4270
488,탕정일반산업단지 D1-1블록 호반써밋 그랜드마크,충남 아산시,12,20. 12. 11. (금),D1-1블록  84A(10) 84B(2),1566-5179
489,탕정일반산업단지 D1-2블록 호반써밋 그랜드마크,충남 아산시,11,20. 12. 11. (금),D1-2블록 59A(1) 59B(1) 84A(8) 84B(1),1566-5179
490,탕정일반산업단지 D2-1블록 호반써밋 그랜드마크,충남 아산시,11,20. 12. 11. (금),D2-1블록 74A(2) 74B(1) 84A(6) 84B(2),1566-5179
491,탕정일반산업단지 D3-1블록 호반써밋 그랜드마크,충남 아산시,7,20. 12. 11. (금),D3-1블록 59A(2) 84A(5),1566-5179
492,탕정일반산업단지 D3-2블록 호반써밋 그랜드마크,충남 아산시,5,20. 12. 11. (금),D3-2블록 84A(4) 84B(1),1566-5179
493,충북혁신도시 C3블록 동일하이빌 파크테라스,충북 진천군,17,20. 12. 11. (금),63(4) 74(5) 84A(5) 84A1(1) 84B(1) 84C(1),1811-0084
494,완주 삼봉지구 B3블록 중흥S-클래스,전북 완주군,12,20. 12. 11. (금),84(12),063-252-2555
495,e편한세상 단양 리버비스타,충북 단양군,1,20. 12. 11. (금),84A(1),1811-1028
496,파주연풍 양우내안에 에코하임,경기 파주시,1,20. 12. 14. (월),59C(1),1600-5745
497,힐스테이트 리슈빌,서울 강동구,9,20. 12. 17. (목),84LA(1) 84LAC(2) 84LB(1) 84TA(1) 84TB(3) 84LDB(1),1588-0459
498,화성 봉담2지구 A-5블록 중흥S-클래스,경기 화성시,10,20. 12. 18. (금),59A(4) 59B(2) 59C(2) 59D(2),031-217-9600
499,군산 더샵 디오션시티 2차,전북 군산시,3,20. 12. 17. (목),84A(2) 84B(1),1670-0771
500,힐스테이트 감삼 센트럴,대구 달서구,3,20. 12. 17. (목),84A(1) 84C(2),053-593-9910
501,울산 태화강 유블레스 센트럴파크,울산 중구,3,20. 12. 17. (목),84A1(3),052-270-9200
502,고덕신도시 EBC-2블록 힐스테이트 고덕 센트럴,경기 평택시,5,20. 12. 18. (금),78(1) 84A(2) 84B(2),1811-0133
503,청천1구역 부평 캐슬 더샵 퍼스트,인천 부평구,16,20. 12. 17. (목),59(11) 72(2) 84A(2) 84B(1),1811-6767
504,e편한세상 부평 그랑힐스,인천 부평구,42,20. 12. 17. (목),37(1) 59A(15) 59B(14) 59C(8) 67A(3) 84A(1),032-500-0000
505,힐스테이트 용인 둔전역,경기 용인시,42,20. 12. 10. (목),59A(9) 59B(1) 59C(10) 75A(3) 75B(3) 84A(12) 84B(4),031-337-1721
506,청주 가경 아이파크 5단지,충북 청주시,11,20. 12. 18. (금),84A(3) 84A1(4) 84B(4),043-239-7506
507,포항 흥해 서희스타힐스,경북 포항시,9,20. 12. 18. (금),59A(2) 59B(1) 59C(2) 74(2) 84(2),054-288-9199
508,영천 아이존빌스타,경북 영천시,12,20. 12. 18. (금),59A(2) 59B(3) 59C(2) 84(5),051-867-8177
509,판교밸리자이 C-1블록,경기 성남시,2,20. 12. 24. (목),60A(1) 60B(1),1833-4471
510,판교밸리자이 C-2블록,경기 성남시,2,20. 12. 24. (목),60A(2),1833-4471
511,판교밸리자이 C-3블록,경기 성남시,1,20. 12. 24. (목),60A(1),1833-4471
512,봉담자이 라피네,경기 화성시,16,20. 12. 24. (목),84A(10) 84C(1) 84D1(1) 84E(2) 84F(2),1577-4254
513,아산 삼부르네상스 더힐,충남 아산시,9,20. 12. 23. (수),59A(3) 59C(1) 74B(1) 83(1) 84(3),1600-9872
514,의정부 고산 S3블록 공공분양주택 ,경기 의정부시,2,20. 12. 30. (수),59A(1) 59B(1),02-2017-4368
515,부산범천2 1블록 LH센트럴힐 공공분양,부산 부산진구,1,20. 12. 31. (목),59B(1),051-460-5456
516,강릉자이 파인베뉴,강원 강릉시,27,20. 12. 29. (화),74A(3) 76(3) 84A(9) 84B(2),1833-4277
517,KTX포항역 삼구트리니엔,경북 포항시,10,20. 12. 31. (목),59(1) 67(2) 84A(6) 84B(1),1666-7400
518,안동용상 풍림아이원 리버파크,경북 안동시,16,20. 12. 23. (수),61A(2) 74A(12) 84A(2),1668-0670
519,[군인특별공급] 안락 스위첸,부산 동래구,3,'21. 1. 8.(금),84A(1) 84B(1) 84C(1),1566-7780
520,[군인특별공급] 한화포레나 인천연수,인천 연수구,10,'21. 1. 8.(금),84A(3) 84B(4) 84C(1) 84D(2),1644-9099
521,[군인특별공급] 다산 월드메르디앙 엔라체,경북 고령군,7,'21. 1. 15.(금),59(4) 72(2) 84B(1),1644-9082
522,[군인특별공급] 가평자이 아파트,경기 가평군,9,'21. 1. 15.(금),59A(3) 59B(1) 59C(1) 76(1) 84(3),031-581-2114
523,[군인특별공급] 송도자이 크리스탈오션,인천 연수구,7,'21. 1. 15.(금),84A(1) 84B(1) 84C(1) 84D(1) 84E(1) 84F(1) 84G(1),1644-6166
524,[군인특별공급] e편한세상 가평 퍼스트원,경기 가평군,10,'21. 1. 19.(화),59(3) 74A(1) 74B(1) 74C(1) 84A(3) 84B(1),1522-7002
525,[군인특별공급] 수성 더팰리스 푸르지오 더샵,대구 수성구,23,'21. 1. 21.(목),59A(6) 59B(8) 75B(4) 75C(3) 84A(1) 84B(1),1800-2476
526,[군인특별공급] 증평 대성베르힐 리오파크,충북 증평군,4,'21. 1. 18.(월),59E(2) 74D(1) 77C(1),062-365-2106
527,[군인특별공급] 세종 리첸시아파밀리에,세종시 6-3,4,'21. 1. 22.(금),H2블록 84D(1) 84K(1) H3블록 59I(1) 84C(1),044-862-1567
528,[군인특별공급] 양주 옥정 파크빌리지,경기 양주시,15,'21. 1. 28.(목),84A(12) 84B(3),031-838-0132
529,[군인특별공급] 송도 더샵 마리나베이,인천 연수구,1,'21. 1. 29.(금),84E(1),032-859-0190
530,[군인특별공급] 대봉교역 금호어울림 에듀리버,대구 남구,3,'21. 1. 28.(목),59A(1) 73(1) 74(1),053-431-9600
531,[군인특별공급] e편한세상 영종국제도시 센텀베뉴,인천 중구,18,'21. 1. 28.(목),84A(9) 84B(2) 84C(7),1811-1409
532,[군인특별공급] 한화 포레나 수원 장안,경기 수원시,17,'21. 1. 29.(금),64A(2) 64B(2) 84A(8) 84B(5),1644-5060
533,[군인특별공급] 충주 대림 퍼스트 앤빌,충북 충주시,2,’21. 2. 3. ( 수 ),69(2),
534,[군인특별공급] 광주 더샵 오포센트리체,경기 광주시,57,’21. 2. 8. ( 월 ),59A(7) 59B(1) 59C(7) 76A(6) 76B(7) 84A(8) 84B(7) 84C(5) 84D(9),1661-0069
535,[군인특별공급] 화성 태안3지구 B1블록,경기 화성시,10,’21. 2. 10. ( 수 ),84A(4) 84B(3) 84C(3),031-266-1800
536,[군인특별공급] 대구 두산동 호반써밋 수성,대구 수성구,3,’21. 2. 9. ( 화 ),84A(1) 84B(1) 84C(1),1566-7326
537,[군인특별공급] 앙평역 한라비발디,경기 양평군,29,21. 2. 10. ( 수 ),1블록 59A(1) 59B(1) 74(2) 84A(6) 84B(3) 2블록 59B(3) 74(3) 84A(7) 84B(3),1566-7326
538,[군인특별공급] 김천 더 테라스 휴,경북 김천시,1,21. 2. 18. ( 목 ),84(1),054-436-0888
539,[군인특별공급] 고덕 강일 제일풍경채,서울 강동구,5,21. 2. 17. ( 수 ),84A(2) 84B(1) 84C(1) 84SB(1),02-3431-9760
540,[군인특별공급] 삼척 센트럴 두산위브,강원 삼척시,10,21. 2. 19. ( 금 ),74A(3) 74B(1) 84A(3) 84B(3),033-572-8988
541,[군인특별공급] 자양 하늘채 베르,서울 광진구,1,21. 2. 18. ( 목 ),46A(1),1811-9337
542,[군인특별공급] 김포마송지구 디에트르 B-4블록,경기 김포시,7,21. 2. 19. ( 금 ),59B(2) 59C(2) 59D(3),1688-9200
543,[군인특별공급] 안산 중흥S-클래스 더퍼스트,경기 안산시,11,21. 2. 18. ( 목 ),59A(4) 59B(2) 59C(1) 84A(1) 84B(1) 84C(2),031-410-1021
544,[군인특별공급] e편한세상 거제 유로스카이,경남 거제시,25,21. 2. 18. ( 목 ),84A(19) 84B(6),1833-2642
545,[군인특별공급] 대봉교역 금호어울림 에듀리버,대구 남구,3,21. 2. 19. ( 금 ),59A(1) 73(1) 74(1),053-431-9600
546,[군인특별공급] 사상역 경보센트리안 3차,부산 사상구,4,21. 2. 19. ( 금 ),49(1) 69(1) 74(1) 80(1),051-325-2222
547,[군인특별공급] 힐스테이트 대명 센트럴,대구 남구,7,21. 2. 26. ( 금 ),84A(2) 84B(4) 84C(1),053-657-1089
548,[군인특별공급] 더샵 탕정역센트로,충남 아산시,9,21. 2. 25. ( 목 ),76B(1) 84A(4) 84B(2) 84C(2),1600-8112
549,[군인특별공급] 용인 양지 동문굿모닝힐 프레스티지,경기 용인시,3,21. 2. 25. ( 목 ),59A(2) 59C(1),1544-1991
550,[군인특별공급] 청주 동남 B8 호반써밋,충북 청주시,22,21. 2. 26. ( 금 ),74A(6) 74B(1) 84(15),1566-9172
551,[군인특별공급] 홍천 금호어울림 더퍼스트,강원 홍천군,10,21. 2. 25. ( 목 ),59(1) 76A(1) 76B(3) 84A(3) 84B(1) 84C(1),1644-0301
552,[군인특별공급] 대전 한신더휴 리저브,대전 중구,4,21. 2. 25. ( 목 ),75(1) 76(1) 84A(1) 84B(1),1644-4669
553,[군인특별공급] 북수원자이 렉스비아,경기 수원시,22,21. 2. 26. ( 금 ),48A(1) 59A(6) 59B(4) 59E(1) 74A(3) 74B(1) 84A(4) 84B(2),1661-4386
554,[군인특별공급] 화원 동화아이위시,대구 달성군,5,21. 3. 3. ( 수 ),84A(1) 84B(1) 84C(3),053-584-5600
555,[군인특별공급] 횡성 벨라시티,강원 횡성군,4,21. 3. 5. ( 금 ),49B(1) 59A(1) 84A(1) 84C1(1),1688-4109
556,[군인특별공급] 오페라 센텀파크 서한이다음,대구 북구,8,21. 3. 4. ( 목 ),74A(1) 74B(1) 84A(5) 84B(1),053-753-7500
557,[군인특별공급] 힐스테이트 광천,광주 서구,4,21. 3. 5. ( 금 ),70A(1) 70B(1) 84A(1) 84B(1),062-362-9996
558,[군인특별공급] 계룡자이,충남 계룡시,35,21. 3. 5. ( 금 ),84A(20) 84B(1) 84C(10) 84D(4),042-721-4000
559,[군인특별공급] 안심 B3 호반써밋 이스텔라 ,대구 동구,5,21. 3. 4. ( 목 ),84A(2) 84B(2) 84C(1),1566-4319
560,[군인특별공급] 이편한세상 울산역 어반스퀘어,울산 울주군,1,21. 3. 12 ( 금 ),84A(1),052-264-5565
561,[군인특별공급] 동대구역 엘크루 에비뉴원,대구 동구,3,21. 3. 12 ( 금 ),79A(1) 84A(1) 84C(1),1833-3225
562,[군인특별공급] 광주 대광로제비앙 퍼스트뷰,광주 광산구,3,21. 3. 11. ( 목 ),81A(1) 81B(2),1522-3636
563,[군인특별공급] 양산 덕계 경동 스마트홈,경남 양산시,1,21. 3. 12 ( 금 ),59A(1) 59B(1),055-386-1788
564,[군인특별공급] 동대구역 골드클래스,대구 동구,9,21. 3. 11. ( 목 ),84A(7) 84B(2),053-955-0009
565,[군인특별공급] 인천 용현·학익 1블록 시티오씨엘,인천 용현·학익,9,21. 3. 11. ( 목 ),75A(2) 75B(1) 84A(3) 84B(3),032-831-1141
566,[군인특별공급] 이안 엑소디움 에이팩스,대구 달서구,2,21. 3. 18. ( 목 ),84A(1) 84C(1),1833-3398
567,[군인특별공급] 김해 푸르지오 하이엔드 2차,경남 김해시,33,21. 3. 18. ( 목 ),59A(4) 59B(4) 59C(7) 75(7) 84A(7) 84B(4),055-328-5677
568,[군인특별공급] 더샵 거제디클리브,경남 거제시,28,21. 3. 18. ( 목 ),74A(5) 74B(1) 84A(7) 84B(8) 84C(3) 84D(4),1661-3007
569,[군인특별공급] e편한세상 주안 에듀서밋,인천 미추홀구,2,21. 3. 19 ( 금 ),63A(1) 63B(1),1800-3899
570,[군인특별공급] 마창대교 유보라아이비파크,경남 창원시,13,21. 3. 19 ( 금 ),74A(5) 74B(1) 84A(3) 84B(1) 84C(3),1800-0355
571,[군인특별공급] 파주운정신도시 디에트르 라 포레(A37블록),경기 파주시,2,21. 3. 26 ( 금 ),84A(1) 84C(1),1688-4007
572,[군인특별공급] 파주운정신도시 디에트르 더 클래스(A35블록),경기 파주시,4,21. 3. 26 ( 금 ),84A(2) 84C((2),1688-4007
573,[군인특별공급] 힐스테이트 만촌역,대구 수성구,5,21. 3. 25 ( 목 ),65(1) 84A(1) 84B(2) 84C(1),1661-9777
574,[군인특별공급] 평택지제역자이,경기 평택시,8,21. 3. 26 ( 금 ),59A(1) 59B(1) 74A(1) 74B(1) 84A(2) 84B(2),1800-5944
575,[군인특별공급] 김해율하 더스카이시티 제니스&프라우 ,경남 김해시,10,21. 3. 25 ( 목 ),64(1) 74(2) 84A(3) 84B(4),1644-0074
576,[군인특별공급] 창원 푸르지오 더 플래티넘,경남 창원시,19,21. 3. 25 ( 목 ),84A(4) 84B(10) 84C(5),1800-0282
577,[군인특별공급] 진해남문 리젠시빌란트 더웰,경남 창원시,12,21. 3. 26 ( 금 ),74A(3) 74B(1) 84(8),1899-0027
578,[군인특별공급] 오산세교2지구 A2블록 호반 써밋,경기 오산시,9,21. 3. 25 ( 목 ),74(3) 84A(5) 84B(1),1566-4914
579,[군인특별공급] 울산 뉴시티 에일린의 뜰 1차,울산 울주군,13,21. 3. 25 ( 목 ),59A(2) 59B(1) 74A(2) 74B(2) 84A(4) 84B(2),052-282-6000
580,[군인특별공급] 힐스테이트 달성공원역,대구 중구,7,21. 3. 25 ( 목 ),84A(2) 84B(1) 84C(1) 84D(1) 84E(1) 84F(1),053-255-9170
581,[군인특별공급] 속초 장사동 엘크루 라테라,강원 속초시,3,21. 3. 26 ( 금 ),76B(1) 73C(1) 84B(1),1833-6133
582,[군인특별공급] 대구 안심 파라곤 프레스티지,대구 동구,13,21. 3. 26 ( 금 ),84A(10) 84B(3),053-242-0055
583,[군인특별공급] 동대구역 골드 클래스,대구 동구,9,21. 3. 26 ( 금 ),84A(7) 84B(2),053-955-0009
584,[군인특별공급] 천안 한양수자인 에코시티,충남 천안시,62,21. 3. 29 ( 월 ),59(10) 75(10) 84A(10) 84B(10) 84C(11) 84D(11),1577-3503
585,[군인특별공급] 한양수자인 더팰리시티,대구 달서구,10,21. 3. 31 ( 수 ),68A(2) 68B(2) 68C(1) 84A(3) 84B(2),1600-0818
586,[군인특별공급] 원주흥업 B-1블록 10년 공공임대,강원 원주시,1,21. 3. 25 ( 목 ),74C(1),033-746-1746
587,[군인특별공급] 파주운정3 A30블록 10년 공공임대,경기 파주시,1,21. 3. 31 ( 수 ),84A(1),032-890-5977
588,[군인특별공급] 창원가포 S-1블록 10년 공공임대,경남 창원시,2,21. 3. 31 ( 수 ),59B(1) 59C(1),055-210-8512
589,[군인특별공급] 용인 드마크 데시앙,경기 용인시,14,21. 3. 29 ( 월 ),51B(1) 59A(5) 59B(5) 74(2) 84(1),1577-0830
590,[군인특별공급] 호반써밋 수성,대구 수성구,3,21. 4. 2 ( 금 ),84A(1) 84B(1) 84C(1),1566-7326
591,[군인특별공급] 광양 푸르지오 더 센트럴,전남 광양시,4,21. 4. 1 ( 목 ),84A(4),1644-0450
592,[청약자격확인] 파주운정3 A30블록 10년 공공임대,경기 파주시(69),4,21.4.8(목),84A(2) 84B(2),032-890-5977
593,대구역 한라 하우젠트 센트로,대구 중구,4,21.4.8(목),84A(2) 84B(2),053-632-0064
594,사상역 경보센트리인 3차 아파트,부산 사상구,4,21.4.9(금),80(1) 74(1) 69(1) 49(1),051-325-2222
595,정선 벨라시티,강원도 정선,3,21.4.9(금),59A(1) 59B(1) 84A(1),033-733-4050
596,세운 푸르지오 헤리시티,서울 중구,4,21.4.9(금),24A(2) 28A(1) 29A(1) ,1577-2237
597,더샵 거제디클리브,경남 거제시,28,21.4.8(목),74A(5) 74B(1) 84A(7) 84B(8) 84C(3) 84D(4),1661-3007
598,검단신도시 우미린 파크뷰 2단지(AB1BL),인천 서구,9,21.4.9(금),59A(4) 59B(2) 84A(3),02-6914-1565
599,인천 검단신도시 AA8블록 우미린,인천 서구,4,21.4.9(금),59A(2) 59B(1) 84(1),02-6914-1565
600,수성 해모로 하이엔,대구 수성구,14,21.4.9(금),59(9) 75(2) 84(1) 84A(1) 84B(1),053-752-0777
601,부평역 해링턴 플레이스,인천 부평구,12,21.4.9(금),59A(2) 59B(1) 59C(1) 72A(3) 72B(2) 72C(3),032-517-7766
602,검단 신도시 예미지 퍼스트포레(AB3-2BL),인천 서구,8,21.4.9(금),76(2) 84A(5) 84B(1),1899-1482
603,[군인특별공급]양주 옥정 A-1블럭 린 파밀리에 (공공분양),경기도 양주,5,21.4.15(목),74A(1) 74B(1) 84A(2) 84B(1),02-6914-1717
604,[군인특별공급]증평 송산지구 칸타빌,충북 증평군,9,21.4.16(금),84(9),043-275-9183
605,[군인특별공급]힐스테이트 모종 네오루체 ,충남 아산시,10,21.4.16(금),74A(2) 84A(4) 84B(4),041-910-0070
606,[군인특별공급]수성 해모로 하이엔,대구 수성구,14,21.4.16(금)예정,59(9) 75(2) 84(1) 84A(1) 84B(1),053-752-0777
607,[군인특별공급]포천 금호어울림 센트럴,경기도 포천시,11,21.4.16(금),84A(10) 84B(1),031-544-7580
608,[군인특별공급]화성 태안3지구 B1블럭 우미린 센트포레,경기도 화성,10,21.4.15(목),84A(4) 84B(3) 84C(3),02-6914-1565
609,[군인특별공급]화성 태안3지구 B2블럭 우미린 센트포레,경기도 화성,11,21.4.15(목),84A(9) 84B(1) 84C(1),02-6914-1565
610,[군인특별공급]덕소 강변 스타힐스,남양주시 와부읍,3,21.4.16(금),59A(1) 59B(1) 77(1) ,031-576-0052
611,[군인특별공급]한화 포레나 포항,포항시 북구,30,21.4.16(금),59(5) 75(5) 84A(10) 84B(10),02-2112-8376
612,[군인특별공급] 서샵 송도아크베이(B3BL),인천 연수구,4,21.4.16(금),84A(2) 84B(2),1855-1331
613,[군인특별공급]덕소 강변 라온프라이빗,경기도 남양주시,3,21.4.16(금),59A(1) 59B(1) 84A(1) ,1881-2202
614,[군인특별공급]쌍문역 시티프라디움,서울 도봉구,1,21.4.15(목),68A(1) ,02-3295-4807
615,[군인특별공급]아산 ZOOM파크,충남 아산시,14,21.4.21(수),75(7) 79(1) 84(6),02-3452-0100
616,[청약자격확인]양주 옥정 A-1블럭 린 파밀리에 공공분양,경기도 양주,61,21.4.15(목),61,02-6914-1717
617,[청약자격확인]포천 금호어울림 센트럴,경기도 포천시,17,21.4.16(금)예정,579세대중 3%인 17세대,031-544-7580
618,[청약자격확인] 덕소 강변 스타힐스,남양주시 와부읍,8,21.4.16(금)예정,274세대중 3% 범위 8세대,031-576-0052
619,[청약자격확인]덕소 강변 라온프라이빗,경기도 남양주시,7,21.4.16(금),7세대,1881-2202
620,[청약자격확인]화성 태안3지구 B1블럭 우미린 센트포레,경기도 화성,19,21.4.15(목),19세대,02-6914-1565
621,[청약자격확인]화성 태안3지구 B2블럭 우미린 센트포레,경기도 화성,19,21.4.15(목),19세대,02-6914-1565
622,[청약자격확인]봉담 자이 라피네(경기 화성시),경기 화성시,22,21.4.23(금) (예정),750세대 3% 22세대,1644-7742
623,[군인특별공급]봉담 자이 라피네(경기 화성시),경기도 화성시,16,21.4.23(금) (예정),84A(10) 84C(1) 84D(1) 84E(2) 84F(2),1644-7742
624,[군인특별공급]미평동 해광샹그릴라 힐즈파크(전남 여수시),전남 여수시,5,21.4.23(금),84A(5) ,062-525-7897
625,[군인특별공급]e편한세상 진천 로얄하임(충북 진천군),충북 진천군,4,21.4.22(목),84(4),1899-0151
626,[군인특별공급]사송 더샵데시앙3차(경남 양산시),경남 양산시,2,21.4.23(금),84A(1) 84C(1),055-366-4040
627,[군인특별공급]계양 하늘채 파크포레(인천 계양구),인천 계양구,1,21.4.23(금),84B(1),032-542-4420
628,[군인특별공급]검단역 금강펜테리움 더 시글로(인천 서구),인천 서구,6,21.4.22(목),84A(1) 84B(2) 84C(3),1800-7864
629,[군인특별공급]만촌역 태왕 THE아너스(대구 수성구),대구 수성구,4,21.4.22(목),84B(4),053-472-8882
630,[청약자격확인]계양 하늘채 파크포레(인천 계양구),인천 계양구,1,21.4.23(금),1새대,032-542-4420
631,[청약자격확인]평택역 경남아너스빌 디아트,경기 평택시,14,21.4.30(금),14세대,031-655-2540
632,[청약자격확인]용현자이크레스트(인천 미추홀구),인천 미추홀구,44,21.4.29(목),1499세대의 3% 44세대,032-716-5567
633,[군인특별공급]용현자이크레스트(인천 미추홀구),인천 미추홀구,10,21.4.29(목),59A(4) 59D(1) 74A(1) 74C(2) 74D(1) 84A(1),032-716-5567
634,[군인특별공급] 더샵 거창포르시엘(경남 거창군),경남 거창군,8,21.4.29(목) ,66(1) 84A(3) 84B(3) 84C(1),1600-2446
635,[군인특별공급] 동탄2신도시 동탄역 디에트로 퍼스트지(업무복합2BL)(경기 화성시),경기 화성시,6,21.4.29(목),84A(3) 84B(3) ,1688-8009
636,[군인특별공급]대덕 브라운스톤(대전 대덕구),대전 대덕구,4,21.4.29(목),63B(1) 75A(1) 75B(2),1800-8887
637,[군인특별공급] 경기도 광주시 고산2지구 C3블럭 오포자이디오브(경기 광주시),경기 광주시,15,21.5.20(금),62A(1) 74A(2) 74C(2) 84A(2) 84B(2) 84C(2) 84D1(2) 84D2(2),1644-0150
638,[군인특별공급] 경기도 광주시 고산2지구 C4블럭 오포자이디오브(경기 광주시),경기 광주시,16,21.5.20(금),62A(1) 62B(1) 74A(1) 74B(1) 74C(1) 74D1(1) 74D2(1) 84A(3) 84B(1) 84C(1) 84D1(2) 84D2(2),1644-0150
639,[군인특별공급]율동지구 한신더휴 B1BL(울산시 북구),울산 북구,4,21.4.30(금),84A(1) 84B(1) 84C(2) ,1877-4547
640,[군인특별공급]율동지구 한신더휴 B2BL(울산시 북구),울산 북구,7,21.4.30(금),84A(3) 84F(2) 84H(1) 84I(1),1877-4547
641,[군인특별공급]율동지구 한신더휴 C2BL(울산시 북구),울산 북구,6,21.4.30(금),84A(2) 84C(2) 84E(1) 84F(1),1877-4547
642,[군인특별공급]직산역 서희스타힐스(충남 천안시),충남 천안시,4,21.4.30(금),59A(1) 59B(2) 84A(1) ,041-584-0099
643,[청약자격확인]더샵 양평리버포레(경기 양평군),경기 양평군,13,21.4.29(목),13세대,1833-7676
644,[군인특별공급]더샵 양평리버포레(경기 양평군),경기 양평군,9,21.4.29(목),76(3) 84A(4) 84B(2) ,1833-7676
645,[군인특별공급]무등산 한국아델리움 더힐 1단지(광주 동구),광주시 동구,3,21.5.6(목),59(1) 84A(1) 84B(1),062-716-2424
646,[군인특별공급]군산 호수공원 아이파크(전북 군산시),전북 군산시,2,21.5.6(목),84A(1) 84B(1),063-464-6650
647,[군인특별공급]연수 서해그랑블 에듀파크(인천 연수구),인천 연수구,6,21.5.27(목),74B(1) 74C(1) 84(4) ,1833-4112
648,[군인특별공급]두산위브더제니스 양산(경남 양산시),경남 양산,24,21.5.6(목),59A(6) 59B(3) 59C(3) 84A(10) 84B(1) 84C(1),051-501-0770
649,[군인특별공급]한화 포레나 안산고잔(경기 안산시),경기도 안산시,2,21.4.29(목),59A(1) 59B(1),1811-2644
650,[청약자격확인] 경기도 광주시 고산2지구 C3블럭 오포자이디오브(경기 광주시),경기 광주시,13,21.5.20(금),447세대중 3% 13세대,1644-0150
651,[청약자격확인] 경기도 광주시 고산2지구 C4블럭 오포자이디오브(경기 광주시),경기 광주시,13,21.5.20(금),447세대중 3% 13세대,1644-0150
652,[군인특별공급]동해 프라우드 스위첸(강원 동해시),강원 동해시,8,21.5.7(금),50(1) 59(1) 84A(4) 84B(1) 84C(1),033-535-0500
653,[청약자격확인] 향남역 한양수자인 디에스티지(경기 화성시),경기 화성시,28,21.5.18(화),945세대중 3% 28세대,1577-0885
654,[군인특별공급] 향남역 한양수자인 디에스티지(경기 화성시),경기 화성시,11,21.5.18(화),61A(1) 61B(1) 66(2) 67(2) 76(1) 84A(2) 84B(1) 84C(1),1577-0885
655,[군인특별공급] 죽전역 에일린의 뜰(대구 달서구),대구 달서구,5,21.5.7(금),59A(1) 74(1) 84B(3) ,053-745-1006
656,[군인특별공급] 성산 삼정그린코아 푸레스트(경남 창원시),경남 창원시,8,21.4.30)금),75(4) 84A(3) 84B(1),1522-3031
657,[군인특별공급]이천 진암지구 우방 아이유쉘 메가하이브(경기 이천시),경기 이천시,2,21.5.13(목),59D(1) 73(1) ,031-642-6902
658,[청약자격확인]이천 진암지구 우방 아이유쉘 메가하이브(경기 이천시),경기 이천시,9,21.5.13(목),59A(1) 59B(1) 59D(2) 73(4) 84(1),031-642-6902
659,[군인특별공급]완주복합행정타운 모아미래도 센트럴시티 3차(전북 완주군),전북 완주군,4,21.5.13(목),74(1) 84A(3),1644-5445
660,[군인특별공급] 한화 포레나 천안신부(충남 천안시),충남 천안시,6,일정연기,76(2) 84A(3) 84B(1),1661-6466
661,[군인특별공급]동탄역 금강펜테리움더 시글로(경기 화성시),경기 화성시,4,21.5.14(금),52A(1) 52B(1) 58A(1) 58B(1) ,1600-0255
